id,sample,p,runtime,memorypick
1,0,0.98,277.85,1138468
2,0,0.99,283.88,1138348
3,0,0.995,282.70,1137820
4,1,0.98,322.31,1198968
5,1,0.99,323.30,1198792
6,1,0.995,332.27,1198616
7,2,0.98,285.90,1141520
8,2,0.99,287.29,1141700
9,2,0.995,289.69,1141528
10,3,0.98,304.40,1174328
11,3,0.99,306.44,1175156
12,3,0.995,308.91,1175036
13,4,0.98,313.42,1172588
14,4,0.99,312.71,1172844
15,4,0.995,317.53,1172732
16,5,0.98,326.18,1194680
17,5,0.99,326.70,1194236
18,5,0.995,328.57,1194140
19,6,0.98,327.97,1191536
20,6,0.99,328.27,1191668
21,6,0.995,334.23,1191484
22,7,0.98,325.92,1195640
23,7,0.99,325.60,1195800
24,7,0.995,327.87,1195440
25,8,0.98,290.69,1136968
26,8,0.99,284.58,1136744
27,8,0.995,287.63,1136296
28,9,0.98,330.64,1199188
29,9,0.99,325.86,1198732
30,9,0.995,328.19,1199296
